series_id,country_code,country_iso2,country_iso3,country_name_zh,country_name_en,indicator_code,indicator_name_zh,indicator_name_en,date,frequency,unit,seasonal_adjustment,calculation,value,source_organization,source_dataset,source_indicator_code,source_series_code,source_indicator_name,source_url,last_updated,status,retrieved_at,data_version
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1980,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1981,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1982,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1983,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1984,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1985,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1986,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1987,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1988,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
AR.CPI_YOY_A.IMF,AR,AR,ARG,阿根廷,Argentina,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,1989,A,%,NSA,YoY,,IMF,World Economic Outlook,PCPIPCH,ARG.PCPIPCH.A,"All Items, Consumer price index (CPI), Period average, percent change",https://data.imf.org/en/datasets/IMF.RES:WEO,2026-04-15T13:00:00Z,official,2026-06-22 16:57:13,2026-04-15T13:00:00Z
