source,source_dataset,source_indicator_code,indicator_code
World Bank,World Development Indicators,NY.GDP.MKTP.CD,GDP_NOMINAL_USD_A
IMF,World Economic Outlook,NGDPD,GDP_NOMINAL_USD_A
World Bank,World Development Indicators,NY.GDP.MKTP.KD.ZG,GDP_REAL_GROWTH_YOY_A
IMF,World Economic Outlook,NGDP_RPCH,GDP_REAL_GROWTH_YOY_A
World Bank,World Development Indicators,NY.GDP.PCAP.CD,GDP_PER_CAPITA_USD_A
IMF,World Economic Outlook,NGDPDPC,GDP_PER_CAPITA_USD_A
World Bank,World Development Indicators,FP.CPI.TOTL.ZG,CPI_YOY_A
IMF,World Economic Outlook,PCPIPCH,CPI_YOY_A
World Bank,World Development Indicators,SL.UEM.TOTL.ZS,UNEMPLOYMENT_RATE_A
IMF,World Economic Outlook,LUR,UNEMPLOYMENT_RATE_A
World Bank,World Development Indicators,NE.EXP.GNFS.CD,EXPORTS_USD_A
IMF,World Economic Outlook,BX,EXPORTS_USD_A
World Bank,World Development Indicators,NE.IMP.GNFS.CD,IMPORTS_USD_A
IMF,World Economic Outlook,BM,IMPORTS_USD_A
World Bank,World Development Indicators,FI.RES.TOTL.CD,RESERVES_USD_A
World Bank,World Development Indicators,GC.DOD.TOTL.GD.ZS,GOV_DEBT_GDP_A
IMF,World Economic Outlook,GGXWDG_NGDP,GOV_DEBT_GDP_A
World Bank,World Development Indicators,BN.CAB.XOKA.GD.ZS,CURRENT_ACCOUNT_GDP_A
IMF,World Economic Outlook,BCA_NGDPD,CURRENT_ACCOUNT_GDP_A
OECD,Prices: Consumer prices,DF_PRICES_ALL.CPI.GY,CPI_YOY_M
Eurostat,HICP monthly annual rate of change,prc_hicp_manr.CP00,CPI_YOY_M
ECB,Euro foreign exchange reference rates,EXR.D.USD.EUR.SP00.A,EUR_USD_EXCHANGE_RATE_D
BIS,Exchange rates,WS_XRU.D,EXCHANGE_RATE_USD_D
World Bank,World Development Indicators,NY.GDP.MKTP.CN,GDP_CURRENT_LCU_A
IMF,World Economic Outlook,NGDP,GDP_CURRENT_LCU_A
World Bank,World Development Indicators,NY.GDP.MKTP.KN,GDP_REAL_LCU_A
IMF,World Economic Outlook,NGDP_R,GDP_REAL_LCU_A
